"filename", "language", "Properties", "JavaScript", "XML", "PowerShell", "Shell Script", "JSON", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\gorka\workspace\WacLine\input\.editorconfig", "Properties", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\gorka\workspace\WacLine\input\.gitattributes", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\gorka\workspace\WacLine\input\.idea\misc.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\gorka\workspace\WacLine\input\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\gorka\workspace\WacLine\input\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\gorka\workspace\WacLine\input\app\_locales\en\messages.json", "JSON", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 1, 120
"c:\Users\gorka\workspace\WacLine\input\app\content\browserStorage\browserStorageSearch.html", "HTML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\build\pdf.js", "JavaScript", 0, 17490, 0, 0, 0, 0, 0, 0, 0, 156, 892, 18538
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\build\pdf.worker.js", "JavaScript", 0, 44374, 0, 0, 0, 0, 0, 0, 0, 175, 958, 45507
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-check.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-comment.svg", "XML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-help.svg", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-insert.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-key.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-newparagraph.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-noicon.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-note.svg", "XML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-paragraph.svg", "XML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ach\viewer.properties", "Properties", 108, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 180
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\af\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ak\viewer.properties", "Properties", 59, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 131
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\an\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ar\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\as\viewer.properties", "Properties", 96, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 168
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ast\viewer.properties", "Properties", 106, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 178
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\az\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\be\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bg\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bn-BD\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bn-IN\viewer.properties", "Properties", 106, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 178
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\br\viewer.properties", "Properties", 109, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 181
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bs\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ca\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
"c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\cs\viewer.properties", "Properties", 113, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 185
