Date : 2020-06-16 22:21:51
Directory : c:\Users\gorka\workspace\WacLine\input
Total : 316 files,  100543 codes, 9570 comments, 6003 blanks, all 116116 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |        149 |     85,667 |      3,755 |      3,742 |     93,164 |
| Properties   |        107 |     10,842 |      5,638 |      1,757 |     18,237 |
| CSS          |          1 |      1,973 |         34 |        270 |      2,277 |
| SCSS         |         18 |        906 |         35 |        146 |      1,087 |
| HTML         |         13 |        597 |         27 |         65 |        689 |
| JSON         |          6 |        316 |         79 |          6 |        401 |
| XML          |         20 |        206 |          0 |         11 |        217 |
| PowerShell   |          1 |         18 |          0 |          1 |         19 |
| Shell Script |          1 |         18 |          2 |          5 |         25 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                         |        316 |    100,543 |      9,570 |      6,003 |    116,116 |
| .idea                                                                                                                                                     |          3 |         23 |          0 |          0 |         23 |
| app                                                                                                                                                       |        289 |    100,063 |      9,399 |      5,936 |    115,398 |
| app\_locales                                                                                                                                              |          1 |        119 |          0 |          1 |        120 |
| app\_locales\en                                                                                                                                           |          1 |        119 |          0 |          1 |        120 |
| app\content                                                                                                                                               |        122 |     84,954 |      6,091 |      4,562 |     95,607 |
| app\content\browserStorage                                                                                                                                |          1 |         28 |          0 |          1 |         29 |
| app\content\pdfjs                                                                                                                                         |        119 |     84,905 |      6,091 |      4,557 |     95,553 |
| app\content\pdfjs\build                                                                                                                                   |          2 |     61,864 |        331 |      1,850 |     64,045 |
| app\content\pdfjs\web                                                                                                                                     |        117 |     23,041 |      5,760 |      2,707 |     31,508 |
| app\content\pdfjs\web\images                                                                                                                              |          9 |        150 |          0 |          9 |        159 |
| app\content\pdfjs\web\locale                                                                                                                              |        105 |     10,832 |      5,637 |      1,753 |     18,222 |
| app\content\pdfjs\web\locale\ach                                                                                                                          |          1 |        108 |         56 |         16 |        180 |
| app\content\pdfjs\web\locale\af                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ak                                                                                                                           |          1 |         59 |         56 |         16 |        131 |
| app\content\pdfjs\web\locale\an                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ar                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\as                                                                                                                           |          1 |         96 |         56 |         16 |        168 |
| app\content\pdfjs\web\locale\ast                                                                                                                          |          1 |        106 |         56 |         16 |        178 |
| app\content\pdfjs\web\locale\az                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\be                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\bg                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\bn-BD                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\bn-IN                                                                                                                        |          1 |        106 |         56 |         16 |        178 |
| app\content\pdfjs\web\locale\br                                                                                                                           |          1 |        109 |         56 |         16 |        181 |
| app\content\pdfjs\web\locale\bs                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ca                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\cs                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\csb                                                                                                                          |          1 |         79 |         28 |         28 |        135 |
| app\content\pdfjs\web\locale\cy                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\da                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\de                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\el                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\en-GB                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\en-US                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\en-ZA                                                                                                                        |          1 |         99 |         56 |         16 |        171 |
